School Year,Division Number,Division Name,School Number,School Name,Race,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,American Indian or Alaska Native,1,,1
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,Asian,41,,41
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",85,,85
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,Hispanic,144,,144
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,"Non-Hispanic, two or more races",38,,38
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",165,,165
2023-2024,2,Albemarle County,880,Albemarle High,American Indian or Alaska Native,3,,3
2023-2024,2,Albemarle County,880,Albemarle High,Asian,168,,168
2023-2024,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",334,,334
2023-2024,2,Albemarle County,880,Albemarle High,Hispanic,415,1,416
2023-2024,2,Albemarle County,880,Albemarle High,"Non-Hispanic, two or more races",140,,140
2023-2024,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",953,5,958
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,American Indian or Alaska Native,4,,4
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,Asian,91,,91
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,"Black, not of Hispanic origin",81,,81
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,Hispanic,116,,116
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,"Non-Hispanic, two or more races",85,,85
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,"White, not of Hispanic origin",358,,358
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,Asian,5,,5
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,"Black, not of Hispanic origin",4,,4
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,Hispanic,28,,28
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,"Non-Hispanic, two or more races",22,,22
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",225,,225
2023-2024,2,Albemarle County,941,Brownsville Elementary,Asian,32,,32
2023-2024,2,Albemarle County,941,Brownsville Elementary,"Black, not of Hispanic origin",19,,19
2023-2024,2,Albemarle County,941,Brownsville Elementary,Hispanic,31,,31
2023-2024,2,Albemarle County,941,Brownsville Elementary,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,2,Albemarle County,941,Brownsville Elementary,"Non-Hispanic, two or more races",37,,37
2023-2024,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",452,,452
2023-2024,2,Albemarle County,890,Community Lab School,Asian,5,,5
2023-2024,2,Albemarle County,890,Community Lab School,"Black, not of Hispanic origin",13,,13
2023-2024,2,Albemarle County,890,Community Lab School,Hispanic,19,,19
2023-2024,2,Albemarle County,890,Community Lab School,"Non-Hispanic, two or more races",19,,19
2023-2024,2,Albemarle County,890,Community Lab School,"White, not of Hispanic origin",123,,123
2023-2024,2,Albemarle County,340,Crozet Elementary,Asian,18,,18
2023-2024,2,Albemarle County,340,Crozet Elementary,"Black, not of Hispanic origin",7,,7
2023-2024,2,Albemarle County,340,Crozet Elementary,Hispanic,43,,43
2023-2024,2,Albemarle County,340,Crozet Elementary,"Non-Hispanic, two or more races",32,,32
2023-2024,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",445,,445
2023-2024,2,Albemarle County,10,Hollymead Elementary,Asian,65,,65
2023-2024,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",26,,26
2023-2024,2,Albemarle County,10,Hollymead Elementary,Hispanic,23,,23
2023-2024,2,Albemarle County,10,Hollymead Elementary,"Non-Hispanic, two or more races",37,,37
2023-2024,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",196,,196
2023-2024,2,Albemarle County,250,Ivy Elementary,Asian,8,,8
2023-2024,2,Albemarle County,250,Ivy Elementary,"Black, not of Hispanic origin",2,,2
2023-2024,2,Albemarle County,250,Ivy Elementary,Hispanic,30,,30
2023-2024,2,Albemarle County,250,Ivy Elementary,"Non-Hispanic, two or more races",12,,12
2023-2024,2,Albemarle County,250,Ivy Elementary,"White, not of Hispanic origin",300,,300
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,Asian,24,,24
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",106,,106
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,Hispanic,150,,150
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,"Non-Hispanic, two or more races",45,,45
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",227,,227
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,Asian,31,,31
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,"Black, not of Hispanic origin",13,,13
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,Hispanic,66,,66
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,"Non-Hispanic, two or more races",41,,41
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",652,,652
2023-2024,2,Albemarle County,950,Journey Middle,Asian,35,,35
2023-2024,2,Albemarle County,950,Journey Middle,"Black, not of Hispanic origin",148,,148
2023-2024,2,Albemarle County,950,Journey Middle,Hispanic,172,,172
2023-2024,2,Albemarle County,950,Journey Middle,"Non-Hispanic, two or more races",39,,39
2023-2024,2,Albemarle County,950,Journey Middle,"White, not of Hispanic origin",214,,214
2023-2024,2,Albemarle County,1051,Lakeside Middle,American Indian or Alaska Native,1,,1
2023-2024,2,Albemarle County,1051,Lakeside Middle,Asian,60,,60
2023-2024,2,Albemarle County,1051,Lakeside Middle,"Black, not of Hispanic origin",47,,47
2023-2024,2,Albemarle County,1051,Lakeside Middle,Hispanic,70,,70
2023-2024,2,Albemarle County,1051,Lakeside Middle,"Non-Hispanic, two or more races",50,,50
2023-2024,2,Albemarle County,1051,Lakeside Middle,"White, not of Hispanic origin",292,,292
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,Asian,11,,11
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",30,,30
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,Hispanic,37,,37
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,"Non-Hispanic, two or more races",19,,19
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",232,1,233
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,Asian,33,,33
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",138,,138
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,Hispanic,173,,173
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,"Non-Hispanic, two or more races",35,,35
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",117,,117
2023-2024,2,Albemarle County,1052,Monticello High,Asian,40,,40
2023-2024,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",155,,155
2023-2024,2,Albemarle County,1052,Monticello High,Hispanic,235,1,236
2023-2024,2,Albemarle County,1052,Monticello High,Native Hawaiian  or Pacific Islander,3,,3
2023-2024,2,Albemarle County,1052,Monticello High,"Non-Hispanic, two or more races",76,,76
2023-2024,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",697,4,701
2023-2024,2,Albemarle County,150,Mountain View Elementary,American Indian or Alaska Native,2,,2
2023-2024,2,Albemarle County,150,Mountain View Elementary,Asian,32,,32
2023-2024,2,Albemarle County,150,Mountain View Elementary,"Black, not of Hispanic origin",112,,112
2023-2024,2,Albemarle County,150,Mountain View Elementary,Hispanic,220,,220
2023-2024,2,Albemarle County,150,Mountain View Elementary,"Non-Hispanic, two or more races",61,,61
2023-2024,2,Albemarle County,150,Mountain View Elementary,"White, not of Hispanic origin",329,,329
2023-2024,2,Albemarle County,540,Red Hill Elementary,Asian,1,,1
2023-2024,2,Albemarle County,540,Red Hill Elementary,"Black, not of Hispanic origin",8,,8
2023-2024,2,Albemarle County,540,Red Hill Elementary,Hispanic,30,,30
2023-2024,2,Albemarle County,540,Red Hill Elementary,"Non-Hispanic, two or more races",18,,18
2023-2024,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",139,,139
2023-2024,2,Albemarle County,30,Scottsville Elementary,"Black, not of Hispanic origin",25,,25
2023-2024,2,Albemarle County,30,Scottsville Elementary,Hispanic,19,,19
2023-2024,2,Albemarle County,30,Scottsville Elementary,"Non-Hispanic, two or more races",12,,12
2023-2024,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",155,,155
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,Asian,24,,24
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,"Black, not of Hispanic origin",49,,49
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,Hispanic,48,,48
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,"Non-Hispanic, two or more races",48,,48
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",319,,319
2023-2024,2,Albemarle County,240,Stony Point Elementary,American Indian or Alaska Native,1,,1
2023-2024,2,Albemarle County,240,Stony Point Elementary,Asian,10,,10
2023-2024,2,Albemarle County,240,Stony Point Elementary,"Black, not of Hispanic origin",29,,29
2023-2024,2,Albemarle County,240,Stony Point Elementary,Hispanic,13,,13
2023-2024,2,Albemarle County,240,Stony Point Elementary,"Non-Hispanic, two or more races",13,,13
2023-2024,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",122,,122
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,American Indian or Alaska Native,1,,1
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,Asian,28,,28
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,"Black, not of Hispanic origin",4,,4
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,Hispanic,19,,19
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,"Non-Hispanic, two or more races",23,,23
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",201,,201
2023-2024,2,Albemarle County,140,Western Albemarle High,American Indian or Alaska Native,3,,3
2023-2024,2,Albemarle County,140,Western Albemarle High,Asian,49,,49
2023-2024,2,Albemarle County,140,Western Albemarle High,"Black, not of Hispanic origin",14,,14
2023-2024,2,Albemarle County,140,Western Albemarle High,Hispanic,74,,74
2023-2024,2,Albemarle County,140,Western Albemarle High,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,2,Albemarle County,140,Western Albemarle High,"Non-Hispanic, two or more races",39,,39
2023-2024,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",984,2,986
2023-2024,2,Albemarle County,930,Woodbrook Elementary,American Indian or Alaska Native,1,,1
2023-2024,2,Albemarle County,930,Woodbrook Elementary,Asian,54,,54
2023-2024,2,Albemarle County,930,Woodbrook Elementary,"Black, not of Hispanic origin",170,,170
2023-2024,2,Albemarle County,930,Woodbrook Elementary,Hispanic,144,,144
2023-2024,2,Albemarle County,930,Woodbrook Elementary,"Non-Hispanic, two or more races",44,,44
2023-2024,2,Albemarle County,930,Woodbrook Elementary,"White, not of Hispanic origin",112,,112
2023-2024,8,Augusta County,212,Beverley Manor Middle,American Indian or Alaska Native,2,,2
2023-2024,8,Augusta County,212,Beverley Manor Middle,Asian,3,,3
2023-2024,8,Augusta County,212,Beverley Manor Middle,"Black, not of Hispanic origin",12,,12
2023-2024,8,Augusta County,212,Beverley Manor Middle,Hispanic,22,,22
2023-2024,8,Augusta County,212,Beverley Manor Middle,"Non-Hispanic, two or more races",28,,28
2023-2024,8,Augusta County,212,Beverley Manor Middle,"White, not of Hispanic origin",545,,545
2023-2024,8,Augusta County,660,Buffalo Gap High,American Indian or Alaska Native,1,,1
2023-2024,8,Augusta County,660,Buffalo Gap High,Asian,1,,1
2023-2024,8,Augusta County,660,Buffalo Gap High,"Black, not of Hispanic origin",1,,1
2023-2024,8,Augusta County,660,Buffalo Gap High,Hispanic,16,,16
2023-2024,8,Augusta County,660,Buffalo Gap High,"Non-Hispanic, two or more races",9,,9
2023-2024,8,Augusta County,660,Buffalo Gap High,"White, not of Hispanic origin",388,,388
2023-2024,8,Augusta County,30,Cassell Elementary,"Black, not of Hispanic origin",20,,20
2023-2024,8,Augusta County,30,Cassell Elementary,Hispanic,37,,37
2023-2024,8,Augusta County,30,Cassell Elementary,"Non-Hispanic, two or more races",46,,46
2023-2024,8,Augusta County,30,Cassell Elementary,"White, not of Hispanic origin",536,,536
2023-2024,8,Augusta County,140,Churchville Elementary,"Black, not of Hispanic origin",4,,4
2023-2024,8,Augusta County,140,Churchville Elementary,Hispanic,8,,8
2023-2024,8,Augusta County,140,Churchville Elementary,Native Hawaiian  or Pacific Islander,3,,3
2023-2024,8,Augusta County,140,Churchville Elementary,"Non-Hispanic, two or more races",21,,21
2023-2024,8,Augusta County,140,Churchville Elementary,"White, not of Hispanic origin",413,,413
2023-2024,8,Augusta County,370,Craigsville Elementary,American Indian or Alaska Native,2,,2
2023-2024,8,Augusta County,370,Craigsville Elementary,Asian,1,,1
2023-2024,8,Augusta County,370,Craigsville Elementary,"Black, not of Hispanic origin",2,,2
2023-2024,8,Augusta County,370,Craigsville Elementary,Hispanic,6,,6
2023-2024,8,Augusta County,370,Craigsville Elementary,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,8,Augusta County,370,Craigsville Elementary,"Non-Hispanic, two or more races",10,,10
2023-2024,8,Augusta County,370,Craigsville Elementary,"White, not of Hispanic origin",106,,106
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,American Indian or Alaska Native,1,,1
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,Asian,5,,5
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,"Black, not of Hispanic origin",25,,25
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,Hispanic,101,,101
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,"Non-Hispanic, two or more races",42,,42
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,"White, not of Hispanic origin",602,,602
2023-2024,8,Augusta County,670,Fort Defiance High,American Indian or Alaska Native,4,,4
2023-2024,8,Augusta County,670,Fort Defiance High,Asian,6,,6
2023-2024,8,Augusta County,670,Fort Defiance High,"Black, not of Hispanic origin",19,,19
2023-2024,8,Augusta County,670,Fort Defiance High,Hispanic,92,1,93
2023-2024,8,Augusta County,670,Fort Defiance High,"Non-Hispanic, two or more races",16,,16
2023-2024,8,Augusta County,670,Fort Defiance High,"White, not of Hispanic origin",600,,600
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,Asian,2,,2
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,"Black, not of Hispanic origin",15,,15
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,Hispanic,18,,18
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,"Non-Hispanic, two or more races",40,,40
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,"White, not of Hispanic origin",378,,378
2023-2024,8,Augusta County,40,North River Elementary,"Black, not of Hispanic origin",10,,10
2023-2024,8,Augusta County,40,North River Elementary,Hispanic,31,,31
2023-2024,8,Augusta County,40,North River Elementary,"Non-Hispanic, two or more races",7,,7
2023-2024,8,Augusta County,40,North River Elementary,"White, not of Hispanic origin",189,,189
2023-2024,8,Augusta County,740,Riverheads Elementary,Asian,4,,4
2023-2024,8,Augusta County,740,Riverheads Elementary,"Black, not of Hispanic origin",15,,15
2023-2024,8,Augusta County,740,Riverheads Elementary,Hispanic,23,,23
2023-2024,8,Augusta County,740,Riverheads Elementary,"Non-Hispanic, two or more races",37,,37
2023-2024,8,Augusta County,740,Riverheads Elementary,"White, not of Hispanic origin",642,,642
2023-2024,8,Augusta County,680,Riverheads High,Asian,6,,6
2023-2024,8,Augusta County,680,Riverheads High,"Black, not of Hispanic origin",7,,7
2023-2024,8,Augusta County,680,Riverheads High,Hispanic,15,,15
2023-2024,8,Augusta County,680,Riverheads High,"Non-Hispanic, two or more races",14,,14
2023-2024,8,Augusta County,680,Riverheads High,"White, not of Hispanic origin",405,1,406
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,American Indian or Alaska Native,1,,1
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,Asian,3,,3
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,"Black, not of Hispanic origin",15,,15
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,Hispanic,50,,50
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,"Non-Hispanic, two or more races",21,,21
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,"White, not of Hispanic origin",426,,426
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,American Indian or Alaska Native,2,,2
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,Asian,4,,4
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,"Black, not of Hispanic origin",28,,28
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,Hispanic,61,,61
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,"Non-Hispanic, two or more races",61,,61
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,"White, not of Hispanic origin",456,,456
2023-2024,8,Augusta County,730,Stuarts Draft High,American Indian or Alaska Native,3,,3
2023-2024,8,Augusta County,730,Stuarts Draft High,Asian,15,,15
2023-2024,8,Augusta County,730,Stuarts Draft High,"Black, not of Hispanic origin",27,,27
2023-2024,8,Augusta County,730,Stuarts Draft High,Hispanic,52,,52
2023-2024,8,Augusta County,730,Stuarts Draft High,"Non-Hispanic, two or more races",42,,42
2023-2024,8,Augusta County,730,Stuarts Draft High,"White, not of Hispanic origin",573,1,574
2023-2024,8,Augusta County,60,Stuarts Draft Middle,American Indian or Alaska Native,1,,1
2023-2024,8,Augusta County,60,Stuarts Draft Middle,Asian,4,,4
2023-2024,8,Augusta County,60,Stuarts Draft Middle,"Black, not of Hispanic origin",19,,19
2023-2024,8,Augusta County,60,Stuarts Draft Middle,Hispanic,40,,40
2023-2024,8,Augusta County,60,Stuarts Draft Middle,"Non-Hispanic, two or more races",43,,43
2023-2024,8,Augusta County,60,Stuarts Draft Middle,"White, not of Hispanic origin",397,,397
2023-2024,8,Augusta County,640,Wilson Elementary,American Indian or Alaska Native,6,,6
2023-2024,8,Augusta County,640,Wilson Elementary,Asian,19,,19
2023-2024,8,Augusta County,640,Wilson Elementary,"Black, not of Hispanic origin",67,,67
2023-2024,8,Augusta County,640,Wilson Elementary,Hispanic,70,,70
2023-2024,8,Augusta County,640,Wilson Elementary,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,8,Augusta County,640,Wilson Elementary,"Non-Hispanic, two or more races",60,,60
2023-2024,8,Augusta County,640,Wilson Elementary,"White, not of Hispanic origin",437,,437
2023-2024,8,Augusta County,720,Wilson Memorial High,American Indian or Alaska Native,1,,1
2023-2024,8,Augusta County,720,Wilson Memorial High,Asian,13,,13
2023-2024,8,Augusta County,720,Wilson Memorial High,"Black, not of Hispanic origin",53,,53
2023-2024,8,Augusta County,720,Wilson Memorial High,Hispanic,54,,54
2023-2024,8,Augusta County,720,Wilson Memorial High,Native Hawaiian  or Pacific Islander,3,,3
2023-2024,8,Augusta County,720,Wilson Memorial High,"Non-Hispanic, two or more races",49,,49
2023-2024,8,Augusta County,720,Wilson Memorial High,"White, not of Hispanic origin",690,2,692
2023-2024,8,Augusta County,844,Wilson Middle,American Indian or Alaska Native,6,,6
2023-2024,8,Augusta County,844,Wilson Middle,Asian,11,,11
2023-2024,8,Augusta County,844,Wilson Middle,"Black, not of Hispanic origin",46,,46
2023-2024,8,Augusta County,844,Wilson Middle,Hispanic,52,,52
2023-2024,8,Augusta County,844,Wilson Middle,"Non-Hispanic, two or more races",44,,44
2023-2024,8,Augusta County,844,Wilson Middle,"White, not of Hispanic origin",497,,497
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,Asian,1,,1
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,"Black, not of Hispanic origin",123,,123
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,Hispanic,16,,16
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,"Non-Hispanic, two or more races",42,,42
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,"White, not of Hispanic origin",210,,210
