"On-time Graduation Rate"
10/26/2022

Year,Level,Division,Subgroup,Cohort,"Graduation Count","Virginia On-Time Graduation Rate","Completer Count","Completion Rate"
2019,DIV,"Accomack County Public Schools","All Students",394,351,89.1,358,90.9
2019,DIV,"Accomack County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Accomack County Public Schools",Asian,<,<,<,<,<
2019,DIV,"Accomack County Public Schools",Black,149,133,89.3,134,89.9
2019,DIV,"Accomack County Public Schools","Economically Disadvantaged",154,125,81.2,131,85.1
2019,DIV,"Accomack County Public Schools","English Learners",46,38,82.6,39,84.8
2019,DIV,"Accomack County Public Schools",Female,183,172,94,173,94.5
2019,DIV,"Accomack County Public Schools",Hispanic,70,62,88.6,62,88.6
2019,DIV,"Accomack County Public Schools",Homeless,<,<,<,<,<
2019,DIV,"Accomack County Public Schools",Male,211,179,84.8,185,87.7
2019,DIV,"Accomack County Public Schools",Migrant,<,<,100,<,100
2019,DIV,"Accomack County Public Schools","Multiple Races",<,<,<,<,<
2019,DIV,"Accomack County Public Schools","Native Hawaiian",<,<,100,<,100
2019,DIV,"Accomack County Public Schools","Students with Disabilities",43,37,86,41,95.3
2019,DIV,"Accomack County Public Schools",White,165,148,89.7,152,92.1
2019,DIV,"Albemarle County Public Schools","All Students",1086,1016,93.6,1024,94.3
2019,DIV,"Albemarle County Public Schools",Asian,52,46,88.5,47,90.4
2019,DIV,"Albemarle County Public Schools",Black,109,106,97.2,106,97.2
2019,DIV,"Albemarle County Public Schools","Economically Disadvantaged",284,252,88.7,255,89.8
2019,DIV,"Albemarle County Public Schools","English Learners",89,58,65.2,58,65.2
2019,DIV,"Albemarle County Public Schools",Female,523,494,94.5,498,95.2
2019,DIV,"Albemarle County Public Schools","Foster Care",<,<,<,<,<
2019,DIV,"Albemarle County Public Schools",Hispanic,131,102,77.9,103,78.6
2019,DIV,"Albemarle County Public Schools",Homeless,<,<,<,<,<
2019,DIV,"Albemarle County Public Schools",Male,563,522,92.7,526,93.4
2019,DIV,"Albemarle County Public Schools","Military Connected",19,19,100,19,100
2019,DIV,"Albemarle County Public Schools","Multiple Races",61,58,95.1,59,96.7
2019,DIV,"Albemarle County Public Schools","Students with Disabilities",129,116,89.9,119,92.2
2019,DIV,"Albemarle County Public Schools",White,733,704,96,709,96.7
2019,DIV,"Alexandria City Public Schools","All Students",1065,874,82.1,891,83.7
2019,DIV,"Alexandria City Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Alexandria City Public Schools",Asian,25,24,96,24,96
2019,DIV,"Alexandria City Public Schools",Black,287,265,92.3,268,93.4
2019,DIV,"Alexandria City Public Schools","Economically Disadvantaged",733,572,78,588,80.2
2019,DIV,"Alexandria City Public Schools","English Learners",344,244,70.9,246,71.5
2019,DIV,"Alexandria City Public Schools",Female,473,412,87.1,421,89
2019,DIV,"Alexandria City Public Schools","Foster Care",<,<,100,<,100
2019,DIV,"Alexandria City Public Schools",Hispanic,519,357,68.8,370,71.3
2019,DIV,"Alexandria City Public Schools",Homeless,12,10,83.3,10,83.3
2019,DIV,"Alexandria City Public Schools",Male,592,462,78,470,79.4
2019,DIV,"Alexandria City Public Schools","Military Connected",14,13,92.9,13,92.9
2019,DIV,"Alexandria City Public Schools","Multiple Races",17,17,100,17,100
2019,DIV,"Alexandria City Public Schools","Students with Disabilities",88,82,93.2,83,94.3
2019,DIV,"Alexandria City Public Schools",White,216,210,97.2,211,97.7
2019,DIV,"Alleghany Highlands Public Schools","All Students",152,148,97.4,148,97.4
2019,DIV,"Alleghany Highlands Public Schools",Black,<,<,100,<,100
2019,DIV,"Alleghany Highlands Public Schools","Economically Disadvantaged",63,59,93.7,59,93.7
2019,DIV,"Alleghany Highlands Public Schools",Female,75,73,97.3,73,97.3
2019,DIV,"Alleghany Highlands Public Schools","Foster Care",<,<,100,<,100
2019,DIV,"Alleghany Highlands Public Schools",Hispanic,<,<,100,<,100
2019,DIV,"Alleghany Highlands Public Schools",Homeless,<,<,<,<,<
2019,DIV,"Alleghany Highlands Public Schools",Male,77,75,97.4,75,97.4
2019,DIV,"Alleghany Highlands Public Schools","Multiple Races",10,10,100,10,100
2019,DIV,"Alleghany Highlands Public Schools","Students with Disabilities",16,15,93.8,15,93.8
2019,DIV,"Alleghany Highlands Public Schools",White,133,129,97,129,97
2019,DIV,"Amelia County Public Schools","All Students",138,135,97.8,135,97.8
2019,DIV,"Amelia County Public Schools",Asian,<,<,100,<,100
2019,DIV,"Amelia County Public Schools",Black,35,34,97.1,34,97.1
2019,DIV,"Amelia County Public Schools","Economically Disadvantaged",66,65,98.5,65,98.5
2019,DIV,"Amelia County Public Schools","English Learners",<,<,100,<,100
2019,DIV,"Amelia County Public Schools",Female,57,56,98.2,56,98.2
2019,DIV,"Amelia County Public Schools",Hispanic,11,11,100,11,100
2019,DIV,"Amelia County Public Schools",Male,81,79,97.5,79,97.5
2019,DIV,"Amelia County Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Amelia County Public Schools","Multiple Races",<,<,100,<,100
2019,DIV,"Amelia County Public Schools","Students with Disabilities",17,17,100,17,100
2019,DIV,"Amelia County Public Schools",White,89,87,97.8,87,97.8
2019,DIV,"Amherst County Public Schools","All Students",293,279,95.2,283,96.6
2019,DIV,"Amherst County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Amherst County Public Schools",Asian,<,<,100,<,100
2019,DIV,"Amherst County Public Schools",Black,66,64,97,64,97
2019,DIV,"Amherst County Public Schools","Economically Disadvantaged",123,113,91.9,116,94.3
2019,DIV,"Amherst County Public Schools","English Learners",<,<,<,<,<
2019,DIV,"Amherst County Public Schools",Female,132,126,95.5,128,97
2019,DIV,"Amherst County Public Schools","Foster Care",<,<,100,<,100
2019,DIV,"Amherst County Public Schools",Hispanic,10,10,100,10,100
2019,DIV,"Amherst County Public Schools",Homeless,<,<,<,<,<
2019,DIV,"Amherst County Public Schools",Male,161,153,95,155,96.3
2019,DIV,"Amherst County Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Amherst County Public Schools","Multiple Races",24,21,87.5,21,87.5
2019,DIV,"Amherst County Public Schools","Students with Disabilities",41,40,97.6,40,97.6
2019,DIV,"Amherst County Public Schools",White,189,180,95.2,184,97.4
2019,DIV,"Appomattox County Public Schools","All Students",162,148,91.4,156,96.3
2019,DIV,"Appomattox County Public Schools",Asian,<,<,100,<,100
2019,DIV,"Appomattox County Public Schools",Black,38,34,89.5,35,92.1
2019,DIV,"Appomattox County Public Schools","Economically Disadvantaged",75,64,85.3,71,94.7
2019,DIV,"Appomattox County Public Schools",Female,83,80,96.4,81,97.6
2019,DIV,"Appomattox County Public Schools","Foster Care",<,<,100,<,100
2019,DIV,"Appomattox County Public Schools",Hispanic,<,<,100,<,100
2019,DIV,"Appomattox County Public Schools",Male,79,68,86.1,75,94.9
2019,DIV,"Appomattox County Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Appomattox County Public Schools","Multiple Races",10,10,100,10,100
2019,DIV,"Appomattox County Public Schools","Students with Disabilities",16,16,100,16,100
2019,DIV,"Appomattox County Public Schools",White,109,99,90.8,106,97.2
2019,DIV,"Arlington County Public Schools","All Students",1758,1641,93.3,1645,93.6
2019,DIV,"Arlington County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Arlington County Public Schools",Asian,151,146,96.7,147,97.4
2019,DIV,"Arlington County Public Schools",Black,202,198,98,198,98
2019,DIV,"Arlington County Public Schools","Economically Disadvantaged",484,453,93.6,455,94
2019,DIV,"Arlington County Public Schools","English Learners",415,337,81.2,337,81.2
2019,DIV,"Arlington County Public Schools",Female,877,837,95.4,840,95.8
2019,DIV,"Arlington County Public Schools","Foster Care",<,<,<,<,<
2019,DIV,"Arlington County Public Schools",Hispanic,576,475,82.5,476,82.6
2019,DIV,"Arlington County Public Schools",Homeless,15,12,80,12,80
2019,DIV,"Arlington County Public Schools",Male,881,804,91.3,805,91.4
2019,DIV,"Arlington County Public Schools","Military Connected",59,59,100,59,100
2019,DIV,"Arlington County Public Schools","Multiple Races",108,107,99.1,107,99.1
2019,DIV,"Arlington County Public Schools","Native Hawaiian",<,<,100,<,100
2019,DIV,"Arlington County Public Schools","Students with Disabilities",275,262,95.3,263,95.6
2019,DIV,"Arlington County Public Schools",White,717,711,99.2,713,99.4
2019,DIV,"Augusta County Public Schools","All Students",771,724,93.9,739,95.8
2019,DIV,"Augusta County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Augusta County Public Schools",Asian,<,<,100,<,100
2019,DIV,"Augusta County Public Schools",Black,17,16,94.1,16,94.1
2019,DIV,"Augusta County Public Schools","Economically Disadvantaged",272,245,90.1,252,92.6
2019,DIV,"Augusta County Public Schools","English Learners",11,9,81.8,9,81.8
2019,DIV,"Augusta County Public Schools",Female,372,356,95.7,358,96.2
2019,DIV,"Augusta County Public Schools","Foster Care",<,<,<,<,<
2019,DIV,"Augusta County Public Schools",Hispanic,35,33,94.3,33,94.3
2019,DIV,"Augusta County Public Schools",Homeless,<,<,<,<,<
2019,DIV,"Augusta County Public Schools",Male,399,368,92.2,381,95.5
2019,DIV,"Augusta County Public Schools","Military Connected",<,<,<,<,<
2019,DIV,"Augusta County Public Schools","Multiple Races",21,20,95.2,20,95.2
2019,DIV,"Augusta County Public Schools","Students with Disabilities",66,59,89.4,61,92.4
2019,DIV,"Augusta County Public Schools",White,690,647,93.8,662,95.9
2019,DIV,"Bath County Public Schools","All Students",31,29,93.5,29,93.5
2019,DIV,"Bath County Public Schools",Black,<,<,100,<,100
2019,DIV,"Bath County Public Schools","Economically Disadvantaged",12,11,91.7,11,91.7
2019,DIV,"Bath County Public Schools",Female,15,15,100,15,100
2019,DIV,"Bath County Public Schools",Male,16,14,87.5,14,87.5
2019,DIV,"Bath County Public Schools","Multiple Races",<,<,100,<,100
