"Diplomas and Completion"
10/26/2022

Year,Level,Division,Subgroup,Cohort,"Dropout Count","Dropout Rate","Advanced Diplomas","Standard Count","Other Diplomas Count","GED ISAEP","Standard and Other Diplomas Count","GED Other Non-Graduation Count","Other Non-Graduation Count"
2019,DIV,"Accomack County Public Schools","All Students",394,28,7.1,176,166,9,2,13,15,175
2019,DIV,"Accomack County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Accomack County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2019,DIV,"Accomack County Public Schools",Black,149,10,6.7,49,77,7,0,6,6,84
2019,DIV,"Accomack County Public Schools","Economically Disadvantaged",154,18,11.7,58,65,2,2,9,11,67
2019,DIV,"Accomack County Public Schools","English Learners",46,7,15.2,8,29,1,0,1,1,30
2019,DIV,"Accomack County Public Schools",Female,183,8,4.4,91,78,3,0,3,3,81
2019,DIV,"Accomack County Public Schools",Hispanic,70,8,11.4,34,27,1,0,0,0,28
2019,DIV,"Accomack County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2019,DIV,"Accomack County Public Schools",Male,211,20,9.5,85,88,6,2,10,12,94
2019,DIV,"Accomack County Public Schools",Migrant,<,0,0,<,<,<,<,<,<,<
2019,DIV,"Accomack County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Accomack County Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Accomack County Public Schools","Students with Disabilities",43,2,4.7,4,24,9,0,4,4,33
2019,DIV,"Accomack County Public Schools",White,165,10,6.1,87,60,1,1,6,7,61
2019,DIV,"Albemarle County Public Schools","All Students",1086,48,4.4,677,330,9,7,15,22,339
2019,DIV,"Albemarle County Public Schools",Asian,52,5,9.6,37,8,1,1,0,1,9
2019,DIV,"Albemarle County Public Schools",Black,109,1,.9,30,74,2,0,2,2,76
2019,DIV,"Albemarle County Public Schools","Economically Disadvantaged",284,19,6.7,86,162,4,3,10,13,166
2019,DIV,"Albemarle County Public Schools","English Learners",89,31,34.8,17,41,0,0,0,0,41
2019,DIV,"Albemarle County Public Schools",Female,523,19,3.6,348,144,2,4,6,10,146
2019,DIV,"Albemarle County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2019,DIV,"Albemarle County Public Schools",Hispanic,131,26,19.8,46,56,0,1,2,3,56
2019,DIV,"Albemarle County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2019,DIV,"Albemarle County Public Schools",Male,563,29,5.2,329,186,7,3,9,12,193
2019,DIV,"Albemarle County Public Schools","Military Connected",19,0,0,12,7,0,0,0,0,7
2019,DIV,"Albemarle County Public Schools","Multiple Races",61,2,3.3,35,22,1,1,0,1,23
2019,DIV,"Albemarle County Public Schools","Students with Disabilities",129,9,7,13,94,9,2,2,4,103
2019,DIV,"Albemarle County Public Schools",White,733,14,1.9,529,170,5,4,11,15,175
2019,DIV,"Alexandria City Public Schools","All Students",1065,149,14,371,473,30,15,27,42,503
2019,DIV,"Alexandria City Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Alexandria City Public Schools",Asian,25,1,4,14,10,0,0,0,0,10
2019,DIV,"Alexandria City Public Schools",Black,287,15,5.2,108,143,14,3,4,7,157
2019,DIV,"Alexandria City Public Schools","Economically Disadvantaged",733,124,16.9,167,382,23,14,23,37,405
2019,DIV,"Alexandria City Public Schools","English Learners",344,84,24.4,35,197,12,2,12,16,209
2019,DIV,"Alexandria City Public Schools",Female,473,45,9.5,206,196,10,7,9,16,206
2019,DIV,"Alexandria City Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Alexandria City Public Schools",Hispanic,519,129,24.9,83,262,12,11,22,33,274
2019,DIV,"Alexandria City Public Schools",Homeless,12,2,16.7,1,8,1,0,0,0,9
2019,DIV,"Alexandria City Public Schools",Male,592,104,17.6,165,277,20,8,18,26,297
2019,DIV,"Alexandria City Public Schools","Military Connected",14,1,7.1,8,5,0,0,0,0,5
2019,DIV,"Alexandria City Public Schools","Multiple Races",17,0,0,9,7,1,0,0,0,8
2019,DIV,"Alexandria City Public Schools","Students with Disabilities",88,3,3.4,3,49,30,1,2,3,79
2019,DIV,"Alexandria City Public Schools",White,216,4,1.9,157,50,3,1,1,2,53
2019,DIV,"Alleghany Highlands Public Schools","All Students",152,3,2,74,69,5,0,1,1,74
2019,DIV,"Alleghany Highlands Public Schools",Black,<,0,0,<,<,<,<,<,<,<
2019,DIV,"Alleghany Highlands Public Schools","Economically Disadvantaged",63,3,4.8,24,33,2,0,1,1,35
2019,DIV,"Alleghany Highlands Public Schools",Female,75,1,1.3,46,24,3,0,1,1,27
2019,DIV,"Alleghany Highlands Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Alleghany Highlands Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2019,DIV,"Alleghany Highlands Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2019,DIV,"Alleghany Highlands Public Schools",Male,77,2,2.6,28,45,2,0,0,0,47
2019,DIV,"Alleghany Highlands Public Schools","Multiple Races",10,0,0,6,4,0,0,0,0,4
2019,DIV,"Alleghany Highlands Public Schools","Students with Disabilities",16,1,6.3,1,9,5,0,0,0,14
2019,DIV,"Alleghany Highlands Public Schools",White,133,3,2.3,64,60,5,0,1,1,65
2019,DIV,"Amelia County Public Schools","All Students",138,1,.7,63,65,7,0,2,2,72
2019,DIV,"Amelia County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2019,DIV,"Amelia County Public Schools",Black,35,0,0,8,21,5,0,1,1,26
2019,DIV,"Amelia County Public Schools","Economically Disadvantaged",66,0,0,16,44,5,0,1,1,49
2019,DIV,"Amelia County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Amelia County Public Schools",Female,57,0,0,33,22,1,0,1,1,23
2019,DIV,"Amelia County Public Schools",Hispanic,11,0,0,5,6,0,0,0,0,6
2019,DIV,"Amelia County Public Schools",Male,81,1,1.2,30,43,6,0,1,1,49
2019,DIV,"Amelia County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Amelia County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Amelia County Public Schools","Students with Disabilities",17,0,0,1,9,7,0,0,0,16
2019,DIV,"Amelia County Public Schools",White,89,1,1.1,48,37,2,0,1,1,39
2019,DIV,"Amherst County Public Schools","All Students",293,9,3.1,137,135,7,4,1,5,142
2019,DIV,"Amherst County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Amherst County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2019,DIV,"Amherst County Public Schools",Black,66,1,1.5,28,35,1,0,1,1,36
2019,DIV,"Amherst County Public Schools","Economically Disadvantaged",123,7,5.7,44,66,3,3,0,3,69
2019,DIV,"Amherst County Public Schools","English Learners",<,<,<,<,<,<,<,<,<,<
2019,DIV,"Amherst County Public Schools",Female,132,4,3,69,55,2,2,0,2,57
2019,DIV,"Amherst County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Amherst County Public Schools",Hispanic,10,0,0,5,5,0,0,0,0,5
2019,DIV,"Amherst County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2019,DIV,"Amherst County Public Schools",Male,161,5,3.1,68,80,5,2,1,3,85
2019,DIV,"Amherst County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2019,DIV,"Amherst County Public Schools","Multiple Races",24,3,12.5,9,12,0,0,0,0,12
2019,DIV,"Amherst County Public Schools","Students with Disabilities",41,1,2.4,5,28,7,0,0,0,35
2019,DIV,"Amherst County Public Schools",White,189,5,2.6,92,82,6,4,0,4,88
2019,DIV,"Appomattox County Public Schools","All Students",162,4,2.5,73,72,3,8,2,10,75
2019,DIV,"Appomattox County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2019,DIV,"Appomattox County Public Schools",Black,38,1,2.6,14,19,1,1,2,3,20
2019,DIV,"Appomattox County Public Schools","Economically Disadvantaged",75,2,2.7,20,42,2,7,2,9,44
