School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2019-2020,2,Albemarle County,160,Agnor-Hurt Elementary,N,238,,238
2019-2020,2,Albemarle County,160,Agnor-Hurt Elementary,Y,237,,237
2019-2020,2,Albemarle County,1060,Albemarle County Community Public Charter,N,46,,46
2019-2020,2,Albemarle County,1060,Albemarle County Community Public Charter,Y,10,,10
2019-2020,2,Albemarle County,880,Albemarle High,N,"1,396",12,"1,408"
2019-2020,2,Albemarle County,880,Albemarle High,Y,554,,554
2019-2020,2,Albemarle County,1053,Baker-Butler Elem,N,512,,512
2019-2020,2,Albemarle County,1053,Baker-Butler Elem,Y,172,,172
2019-2020,2,Albemarle County,100,Broadus Wood Elementary,N,246,,246
2019-2020,2,Albemarle County,100,Broadus Wood Elementary,Y,41,,41
2019-2020,2,Albemarle County,941,Brownsville Elementary,N,768,,768
2019-2020,2,Albemarle County,941,Brownsville Elementary,Y,93,,93
2019-2020,2,Albemarle County,340,Crozet Elementary,N,263,,263
2019-2020,2,Albemarle County,340,Crozet Elementary,Y,79,,79
2019-2020,2,Albemarle County,10,Hollymead Elementary,N,373,,373
2019-2020,2,Albemarle County,10,Hollymead Elementary,Y,56,,56
2019-2020,2,Albemarle County,950,Jack Jouett Middle,N,293,<,294
2019-2020,2,Albemarle County,950,Jack Jouett Middle,Y,361,,361
2019-2020,2,Albemarle County,69,Jackson P. Burley Middle,N,352,<,354
2019-2020,2,Albemarle County,69,Jackson P. Burley Middle,Y,234,,234
2019-2020,2,Albemarle County,942,Joseph T. Henley Middle,N,796,<,798
2019-2020,2,Albemarle County,942,Joseph T. Henley Middle,Y,121,,121
2019-2020,2,Albemarle County,20,Leslie H. Walton Middle,N,205,<,206
2019-2020,2,Albemarle County,20,Leslie H. Walton Middle,Y,138,<,139
2019-2020,2,Albemarle County,40,Mary Carr Greer Elementary,N,153,,153
