School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2019-2020,2,Albemarle County,40,Mary Carr Greer Elementary,Y,369,,369
2019-2020,2,Albemarle County,250,Meriwether Lewis Elementary,N,362,,362
2019-2020,2,Albemarle County,250,Meriwether Lewis Elementary,Y,42,,42
2019-2020,2,Albemarle County,1052,Monticello High,N,850,10,860
2019-2020,2,Albemarle County,1052,Monticello High,Y,357,,357
2019-2020,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,N,479,<,481
2019-2020,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,Y,117,,117
2019-2020,2,Albemarle County,890,Murray High,N,67,,67
2019-2020,2,Albemarle County,890,Murray High,Y,18,,18
2019-2020,2,Albemarle County,150,Paul H. Cale Elementary,N,453,,453
2019-2020,2,Albemarle County,150,Paul H. Cale Elementary,Y,317,,317
2019-2020,2,Albemarle County,540,Red Hill Elementary,N,101,,101
2019-2020,2,Albemarle County,540,Red Hill Elementary,Y,113,,113
2019-2020,2,Albemarle County,30,Scottsville Elementary,N,130,,130
2019-2020,2,Albemarle County,30,Scottsville Elementary,Y,103,,103
2019-2020,2,Albemarle County,920,Stone Robinson Elementary,N,369,,369
2019-2020,2,Albemarle County,920,Stone Robinson Elementary,Y,139,,139
2019-2020,2,Albemarle County,240,Stony Point Elementary,N,161,,161
2019-2020,2,Albemarle County,240,Stony Point Elementary,Y,77,,77
2019-2020,2,Albemarle County,910,Virginia L. Murray Elementary,N,238,,238
2019-2020,2,Albemarle County,910,Virginia L. Murray Elementary,Y,18,,18
2019-2020,2,Albemarle County,140,Western Albemarle High,N,"1,080",,"1,080"
2019-2020,2,Albemarle County,140,Western Albemarle High,Y,127,,127
2019-2020,2,Albemarle County,930,Woodbrook Elementary,N,227,,227
2019-2020,2,Albemarle County,930,Woodbrook Elementary,Y,353,,353
2019-2020,8,Augusta County,212,Beverley Manor Middle,N,431,,431
2019-2020,8,Augusta County,212,Beverley Manor Middle,Y,275,,275
2019-2020,8,Augusta County,660,Buffalo Gap High,N,319,,319
2019-2020,8,Augusta County,660,Buffalo Gap High,Y,167,,167
2019-2020,8,Augusta County,30,Cassell Elementary,N,359,,359
2019-2020,8,Augusta County,30,Cassell Elementary,Y,318,,318
2019-2020,8,Augusta County,140,Churchville Elementary,N,250,,250
2019-2020,8,Augusta County,140,Churchville Elementary,Y,146,,146
2019-2020,8,Augusta County,370,Craigsville Elementary,N,52,,52
2019-2020,8,Augusta County,370,Craigsville Elementary,Y,100,,100
2019-2020,8,Augusta County,842,Edward G. Clymore Elementary,N,463,,463
2019-2020,8,Augusta County,842,Edward G. Clymore Elementary,Y,332,,332
2019-2020,8,Augusta County,670,Fort Defiance High,N,555,,555
2019-2020,8,Augusta County,670,Fort Defiance High,Y,217,,217
2019-2020,8,Augusta County,843,Guy K. Stump Elementary,N,271,,271
2019-2020,8,Augusta County,843,Guy K. Stump Elementary,Y,174,,174
2019-2020,8,Augusta County,40,North River Elementary,N,141,,141
2019-2020,8,Augusta County,40,North River Elementary,Y,117,,117
2019-2020,8,Augusta County,740,Riverheads Elementary,N,409,,409
2019-2020,8,Augusta County,740,Riverheads Elementary,Y,307,,307
2019-2020,8,Augusta County,680,Riverheads High,N,315,,315
2019-2020,8,Augusta County,680,Riverheads High,Y,139,<,140
2019-2020,8,Augusta County,90,S. Gordon Stewart Middle,N,290,,290
2019-2020,8,Augusta County,90,S. Gordon Stewart Middle,Y,210,,210
2019-2020,8,Augusta County,440,Stuarts Draft Elementary,N,339,,339
2019-2020,8,Augusta County,440,Stuarts Draft Elementary,Y,254,,254
2019-2020,8,Augusta County,730,Stuarts Draft High,N,483,<,484
2019-2020,8,Augusta County,730,Stuarts Draft High,Y,224,,224
2019-2020,8,Augusta County,60,Stuarts Draft Middle,N,340,,340
2019-2020,8,Augusta County,60,Stuarts Draft Middle,Y,217,,217
2019-2020,8,Augusta County,640,Wilson Elementary,N,417,,417
2019-2020,8,Augusta County,640,Wilson Elementary,Y,246,,246
2019-2020,8,Augusta County,720,Wilson Memorial High,N,559,<,560
2019-2020,8,Augusta County,720,Wilson Memorial High,Y,238,,238
2019-2020,8,Augusta County,844,Wilson Middle,N,413,,413
2019-2020,8,Augusta County,844,Wilson Middle,Y,252,,252
2019-2020,15,Buckingham County,724,Buckingham Co Elementary,N,227,,227
2019-2020,15,Buckingham County,724,Buckingham Co Elementary,Y,256,,256
2019-2020,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,47,,47
2019-2020,15,Buckingham County,20,Buckingham Co Prekindergarten Center,Y,64,,64
2019-2020,15,Buckingham County,723,Buckingham Co Primary,N,203,,203
2019-2020,15,Buckingham County,723,Buckingham Co Primary,Y,249,,249
2019-2020,15,Buckingham County,700,Buckingham County High,N,257,,257
2019-2020,15,Buckingham County,700,Buckingham County High,Y,316,,316
2019-2020,15,Buckingham County,721,Buckingham County Middle,N,212,,212
2019-2020,15,Buckingham County,721,Buckingham County Middle,Y,282,,282
2019-2020,104,Charlottesville City,100,Buford Middle,N,262,<,263
2019-2020,104,Charlottesville City,100,Buford Middle,Y,267,,267
2019-2020,104,Charlottesville City,70,Burnley-Moran Elementary,N,224,,224
2019-2020,104,Charlottesville City,70,Burnley-Moran Elementary,Y,153,,153
2019-2020,104,Charlottesville City,140,Charlottesville High,N,759,,759
2019-2020,104,Charlottesville City,140,Charlottesville High,Y,466,,466
2019-2020,104,Charlottesville City,50,Clark Elementary,N,135,,135
2019-2020,104,Charlottesville City,50,Clark Elementary,Y,181,,181
2019-2020,104,Charlottesville City,90,Greenbrier Elementary,N,218,,218
2019-2020,104,Charlottesville City,90,Greenbrier Elementary,Y,159,,159
2019-2020,104,Charlottesville City,120,Jackson-Via Elementary,N,183,,183
2019-2020,104,Charlottesville City,120,Jackson-Via Elementary,Y,160,,160
2019-2020,104,Charlottesville City,10,Johnson Elementary,N,235,,235
2019-2020,104,Charlottesville City,10,Johnson Elementary,Y,124,,124
2019-2020,104,Charlottesville City,40,Venable Elementary,N,242,,242
2019-2020,104,Charlottesville City,40,Venable Elementary,Y,104,,104
2019-2020,104,Charlottesville City,110,Walker Upper Elementary,N,301,<,302
2019-2020,104,Charlottesville City,110,Walker Upper Elementary,Y,369,,369
2019-2020,32,Fluvanna County,300,Carysbrook Elementary,N,285,,285
2019-2020,32,Fluvanna County,300,Carysbrook Elementary,Y,186,,186
2019-2020,32,Fluvanna County,310,Central Elementary,N,263,,263
2019-2020,32,Fluvanna County,310,Central Elementary,Y,196,,196
2019-2020,32,Fluvanna County,260,Fluvanna County High,N,"1,015",,"1,015"
2019-2020,32,Fluvanna County,260,Fluvanna County High,Y,474,,474
2019-2020,32,Fluvanna County,320,Fluvanna Middle,N,517,,517
2019-2020,32,Fluvanna County,320,Fluvanna Middle,Y,316,,316
2019-2020,32,Fluvanna County,330,West Central Primary School,N,151,,151
2019-2020,32,Fluvanna County,330,West Central Primary School,Y,146,,146
2019-2020,39,Greene County,20,Nathanael Greene Elementary,N,180,,180
2019-2020,39,Greene County,20,Nathanael Greene Elementary,Y,170,,170
2019-2020,39,Greene County,10,Nathanael Greene Primary School,N,191,,191
2019-2020,39,Greene County,10,Nathanael Greene Primary School,Y,216,,216
2019-2020,39,Greene County,30,Ruckersville Elementary,N,333,,333
2019-2020,39,Greene County,30,Ruckersville Elementary,Y,198,,198
2019-2020,39,Greene County,72,William Monroe High,N,624,,624
2019-2020,39,Greene County,72,William Monroe High,Y,324,,324
2019-2020,39,Greene County,71,William Monroe Middle,N,426,,426
2019-2020,39,Greene County,71,William Monroe Middle,Y,314,,314
2019-2020,54,Louisa County,660,Jouett Elementary,N,304,,304
2019-2020,54,Louisa County,660,Jouett Elementary,Y,294,,294
2019-2020,54,Louisa County,602,Louisa County High,N,837,,837
2019-2020,54,Louisa County,602,Louisa County High,Y,658,,658
2019-2020,54,Louisa County,601,Louisa County Middle,N,601,,601
2019-2020,54,Louisa County,601,Louisa County Middle,Y,588,,588
2019-2020,54,Louisa County,80,Moss-Nuckols Elementary,N,370,,370
2019-2020,54,Louisa County,80,Moss-Nuckols Elementary,Y,221,,221
2019-2020,54,Louisa County,610,Thomas Jefferson Elementary,N,240,,240
2019-2020,54,Louisa County,610,Thomas Jefferson Elementary,Y,364,,364
2019-2020,54,Louisa County,641,Trevilians Elementary,N,235,,235
2019-2020,54,Louisa County,641,Trevilians Elementary,Y,275,,275
2019-2020,56,Madison County,221,Madison County High,N,325,<,326
2019-2020,56,Madison County,221,Madison County High,Y,215,,215
2019-2020,56,Madison County,230,Madison Primary,N,173,65,238
2019-2020,56,Madison County,230,Madison Primary,Y,147,,147
2019-2020,56,Madison County,200,Waverly Yowell Elementary,N,218,,218
2019-2020,56,Madison County,200,Waverly Yowell Elementary,Y,162,,162
2019-2020,56,Madison County,222,William H. Wetsel Middle,N,227,<,228
2019-2020,56,Madison County,222,William H. Wetsel Middle,Y,192,,192
2019-2020,62,Nelson County,710,Nelson County High,N,279,,279
2019-2020,62,Nelson County,710,Nelson County High,Y,295,,295
2019-2020,62,Nelson County,730,Nelson Middle,N,176,,176
2019-2020,62,Nelson County,730,Nelson Middle,Y,232,,232
2019-2020,62,Nelson County,10,Rockfish River Elementary,N,142,,142
2019-2020,62,Nelson County,10,Rockfish River Elementary,Y,173,,173
2019-2020,62,Nelson County,20,Tye River Elementary,N,149,,149
2019-2020,62,Nelson County,20,Tye River Elementary,Y,249,,249
2019-2020,68,Orange County,360,Gordon-Barbour Elementary,N,162,,162
2019-2020,68,Orange County,360,Gordon-Barbour Elementary,Y,207,,207
2019-2020,68,Orange County,70,Lightfoot Elementary,N,135,,135
2019-2020,68,Orange County,70,Lightfoot Elementary,Y,111,,111
2019-2020,68,Orange County,50,Locust Grove Elementary,N,264,,264
2019-2020,68,Orange County,50,Locust Grove Elementary,Y,171,,171
2019-2020,68,Orange County,471,Locust Grove Middle,N,377,,377
2019-2020,68,Orange County,471,Locust Grove Middle,Y,247,,247
2019-2020,68,Orange County,51,Locust Grove Primary School,N,289,,289
2019-2020,68,Orange County,51,Locust Grove Primary School,Y,190,,190
2019-2020,68,Orange County,330,Orange County High ,N,911,<,913
2019-2020,68,Orange County,330,Orange County High ,Y,585,,585
2019-2020,68,Orange County,370,Orange Elementary,N,303,,303
2019-2020,68,Orange County,370,Orange Elementary,Y,366,,366
2019-2020,68,Orange County,340,Prospect Heights Middle,N,236,<,237
2019-2020,68,Orange County,340,Prospect Heights Middle,Y,290,,290
2019-2020,68,Orange County,350,Unionville Elementary,N,124,,124
2019-2020,68,Orange County,350,Unionville Elementary,Y,121,,121
2019-2020,126,Staunton City,40,Arthur R. Ware Elementary,N,273,,273
2019-2020,126,Staunton City,40,Arthur R. Ware Elementary,Y,152,,152
2019-2020,126,Staunton City,70,Bessie Weller Elementary,N,196,,196
2019-2020,126,Staunton City,70,Bessie Weller Elementary,Y,181,,181
2019-2020,126,Staunton City,110,Shelburne Middle,N,392,,392
2019-2020,126,Staunton City,110,Shelburne Middle,Y,242,,242
2019-2020,126,Staunton City,41,Staunton City School PreSchool Programs,N,59,,59
2019-2020,126,Staunton City,41,Staunton City School PreSchool Programs,Y,31,,31
2019-2020,126,Staunton City,30,Staunton High,N,487,,487
2019-2020,126,Staunton City,30,Staunton High,Y,305,<,306
2019-2020,126,Staunton City,90,Thomas C. McSwain Elementary,N,263,,263
2019-2020,126,Staunton City,90,Thomas C. McSwain Elementary,Y,156,,156
2019-2020,130,Waynesboro City,650,Berkeley Glenn Elementary,N,119,,119
2019-2020,130,Waynesboro City,650,Berkeley Glenn Elementary,Y,138,,138
2019-2020,130,Waynesboro City,640,Kate Collins Middle,N,321,,321
2019-2020,130,Waynesboro City,640,Kate Collins Middle,Y,371,,371
2019-2020,130,Waynesboro City,620,Wayne Hills Center,N,10,,10
2019-2020,130,Waynesboro City,620,Wayne Hills Center,Y,72,,72
2019-2020,130,Waynesboro City,600,Waynesboro High,N,446,,446
2019-2020,130,Waynesboro City,600,Waynesboro High,Y,411,,411
2019-2020,130,Waynesboro City,580,Wenonah Elementary,N,100,,100
2019-2020,130,Waynesboro City,580,Wenonah Elementary,Y,155,,155
2019-2020,130,Waynesboro City,630,Westwood Hills Elementary,N,247,,247
2019-2020,130,Waynesboro City,630,Westwood Hills Elementary,Y,167,,167
2019-2020,130,Waynesboro City,751,William Perry Elementary,N,188,,188
2019-2020,130,Waynesboro City,751,William Perry Elementary,Y,216,,216
2020-2021,2,Albemarle County,160,Agnor-Hurt Elementary,N,229,,229
2020-2021,2,Albemarle County,160,Agnor-Hurt Elementary,Y,203,,203
2020-2021,2,Albemarle County,880,Albemarle High,N,"1,240",<,"1,246"
2020-2021,2,Albemarle County,880,Albemarle High,Y,647,,647
2020-2021,2,Albemarle County,1053,Baker-Butler Elem,N,467,,467
2020-2021,2,Albemarle County,1053,Baker-Butler Elem,Y,170,,170
2020-2021,2,Albemarle County,100,Broadus Wood Elementary,N,210,,210
2020-2021,2,Albemarle County,100,Broadus Wood Elementary,Y,42,,42
2020-2021,2,Albemarle County,941,Brownsville Elementary,N,629,,629
2020-2021,2,Albemarle County,941,Brownsville Elementary,Y,100,,100
2020-2021,2,Albemarle County,340,Crozet Elementary,N,248,,248
2020-2021,2,Albemarle County,340,Crozet Elementary,Y,80,,80
2020-2021,2,Albemarle County,10,Hollymead Elementary,N,303,,303
2020-2021,2,Albemarle County,10,Hollymead Elementary,Y,46,,46
2020-2021,2,Albemarle County,950,Jack Jouett Middle,N,286,,286
2020-2021,2,Albemarle County,950,Jack Jouett Middle,Y,395,,395
2020-2021,2,Albemarle County,69,Jackson P. Burley Middle,N,336,<,338
2020-2021,2,Albemarle County,69,Jackson P. Burley Middle,Y,271,,271
2020-2021,2,Albemarle County,942,Joseph T. Henley Middle,N,727,<,734
2020-2021,2,Albemarle County,942,Joseph T. Henley Middle,Y,150,,150
2020-2021,2,Albemarle County,20,Leslie H. Walton Middle,N,203,<,204
2020-2021,2,Albemarle County,20,Leslie H. Walton Middle,Y,142,<,143
2020-2021,2,Albemarle County,40,Mary Carr Greer Elementary,N,172,,172
2020-2021,2,Albemarle County,40,Mary Carr Greer Elementary,Y,297,,297
2020-2021,2,Albemarle County,250,Meriwether Lewis Elementary,N,292,,292
2020-2021,2,Albemarle County,250,Meriwether Lewis Elementary,Y,31,,31
2020-2021,2,Albemarle County,1052,Monticello High,N,773,<,780
2020-2021,2,Albemarle County,1052,Monticello High,Y,413,<,417
2020-2021,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,N,456,<,461
2020-2021,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,Y,123,,123
2020-2021,2,Albemarle County,150,Mountain View Elementary,N,406,,406
2020-2021,2,Albemarle County,150,Mountain View Elementary,Y,288,,288
2020-2021,2,Albemarle County,890,Murray School,N,126,,126
2020-2021,2,Albemarle County,890,Murray School,Y,36,,36
2020-2021,2,Albemarle County,540,Red Hill Elementary,N,87,,87
2020-2021,2,Albemarle County,540,Red Hill Elementary,Y,82,,82
2020-2021,2,Albemarle County,30,Scottsville Elementary,N,122,,122
2020-2021,2,Albemarle County,30,Scottsville Elementary,Y,100,,100
2020-2021,2,Albemarle County,920,Stone Robinson Elementary,N,324,,324
2020-2021,2,Albemarle County,920,Stone Robinson Elementary,Y,126,,126
2020-2021,2,Albemarle County,240,Stony Point Elementary,N,118,,118
2020-2021,2,Albemarle County,240,Stony Point Elementary,Y,55,,55
2020-2021,2,Albemarle County,910,Virginia L. Murray Elementary,N,216,,216
2020-2021,2,Albemarle County,910,Virginia L. Murray Elementary,Y,19,,19
2020-2021,2,Albemarle County,140,Western Albemarle High,N,"1,003",,"1,003"
2020-2021,2,Albemarle County,140,Western Albemarle High,Y,141,,141
2020-2021,2,Albemarle County,930,Woodbrook Elementary,N,244,,244
2020-2021,2,Albemarle County,930,Woodbrook Elementary,Y,325,,325
2020-2021,8,Augusta County,212,Beverley Manor Middle,N,411,,411
2020-2021,8,Augusta County,212,Beverley Manor Middle,Y,256,,256
2020-2021,8,Augusta County,660,Buffalo Gap High,N,300,<,301
2020-2021,8,Augusta County,660,Buffalo Gap High,Y,175,,175
2020-2021,8,Augusta County,30,Cassell Elementary,N,343,,343
2020-2021,8,Augusta County,30,Cassell Elementary,Y,288,,288
2020-2021,8,Augusta County,140,Churchville Elementary,N,267,,267
2020-2021,8,Augusta County,140,Churchville Elementary,Y,126,,126
2020-2021,8,Augusta County,370,Craigsville Elementary,N,48,,48
2020-2021,8,Augusta County,370,Craigsville Elementary,Y,83,,83
2020-2021,8,Augusta County,842,Edward G. Clymore Elementary,N,494,,494
2020-2021,8,Augusta County,842,Edward G. Clymore Elementary,Y,250,,250
2020-2021,8,Augusta County,670,Fort Defiance High,N,571,,571
2020-2021,8,Augusta County,670,Fort Defiance High,Y,198,,198
2020-2021,8,Augusta County,843,Guy K. Stump Elementary,N,289,,289
2020-2021,8,Augusta County,843,Guy K. Stump Elementary,Y,143,,143
2020-2021,8,Augusta County,40,North River Elementary,N,145,,145
2020-2021,8,Augusta County,40,North River Elementary,Y,101,,101
2020-2021,8,Augusta County,740,Riverheads Elementary,N,433,,433
2020-2021,8,Augusta County,740,Riverheads Elementary,Y,277,,277
2020-2021,8,Augusta County,680,Riverheads High,N,334,,334
2020-2021,8,Augusta County,680,Riverheads High,Y,134,,134
2020-2021,8,Augusta County,90,S. Gordon Stewart Middle,N,345,,345
2020-2021,8,Augusta County,90,S. Gordon Stewart Middle,Y,177,,177
2020-2021,8,Augusta County,440,Stuarts Draft Elementary,N,381,,381
2020-2021,8,Augusta County,440,Stuarts Draft Elementary,Y,204,,204
2020-2021,8,Augusta County,730,Stuarts Draft High,N,511,<,512
2020-2021,8,Augusta County,730,Stuarts Draft High,Y,205,,205
2020-2021,8,Augusta County,60,Stuarts Draft Middle,N,334,,334
2020-2021,8,Augusta County,60,Stuarts Draft Middle,Y,170,,170
2020-2021,8,Augusta County,640,Wilson Elementary,N,441,,441
2020-2021,8,Augusta County,640,Wilson Elementary,Y,224,,224
2020-2021,8,Augusta County,720,Wilson Memorial High,N,565,<,566
2020-2021,8,Augusta County,720,Wilson Memorial High,Y,254,,254
2020-2021,8,Augusta County,844,Wilson Middle,N,425,,425
2020-2021,8,Augusta County,844,Wilson Middle,Y,245,,245
2020-2021,15,Buckingham County,724,Buckingham Co Elementary,N,324,,324
2020-2021,15,Buckingham County,724,Buckingham Co Elementary,Y,121,,121
2020-2021,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,61,,61
2020-2021,15,Buckingham County,20,Buckingham Co Prekindergarten Center,Y,<,,<
2020-2021,15,Buckingham County,723,Buckingham Co Primary,N,361,,361
2020-2021,15,Buckingham County,723,Buckingham Co Primary,Y,42,,42
2020-2021,15,Buckingham County,700,Buckingham County High,N,500,,500
2020-2021,15,Buckingham County,700,Buckingham County High,Y,73,,73
2020-2021,15,Buckingham County,721,Buckingham County Middle,N,394,,394
2020-2021,15,Buckingham County,721,Buckingham County Middle,Y,125,,125
2020-2021,104,Charlottesville City,100,Buford Middle,N,280,,280
2020-2021,104,Charlottesville City,100,Buford Middle,Y,313,,313
2020-2021,104,Charlottesville City,70,Burnley-Moran Elementary,N,198,,198
2020-2021,104,Charlottesville City,70,Burnley-Moran Elementary,Y,120,,120
2020-2021,104,Charlottesville City,140,Charlottesville High,N,706,<,709
2020-2021,104,Charlottesville City,140,Charlottesville High,Y,488,,488
2020-2021,104,Charlottesville City,50,Clark Elementary,N,98,,98
2020-2021,104,Charlottesville City,50,Clark Elementary,Y,189,,189
2020-2021,104,Charlottesville City,90,Greenbrier Elementary,N,186,,186
2020-2021,104,Charlottesville City,90,Greenbrier Elementary,Y,132,,132
2020-2021,104,Charlottesville City,120,Jackson-Via Elementary,N,149,,149
2020-2021,104,Charlottesville City,120,Jackson-Via Elementary,Y,182,,182
2020-2021,104,Charlottesville City,10,Johnson Elementary,N,196,,196
2020-2021,104,Charlottesville City,10,Johnson Elementary,Y,114,,114
2020-2021,104,Charlottesville City,40,Venable Elementary,N,184,,184
2020-2021,104,Charlottesville City,40,Venable Elementary,Y,91,<,92
2020-2021,104,Charlottesville City,110,Walker Upper Elementary,N,305,,305
2020-2021,104,Charlottesville City,110,Walker Upper Elementary,Y,323,,323
2020-2021,32,Fluvanna County,300,Carysbrook Elementary,N,252,,252
2020-2021,32,Fluvanna County,300,Carysbrook Elementary,Y,188,,188
2020-2021,32,Fluvanna County,310,Central Elementary,N,214,,214
2020-2021,32,Fluvanna County,310,Central Elementary,Y,191,,191
2020-2021,32,Fluvanna County,260,Fluvanna County High,N,901,,901
2020-2021,32,Fluvanna County,260,Fluvanna County High,Y,554,,554
2020-2021,32,Fluvanna County,320,Fluvanna Middle,N,451,,451
2020-2021,32,Fluvanna County,320,Fluvanna Middle,Y,337,,337
2020-2021,32,Fluvanna County,330,West Central Primary School,N,121,,121
2020-2021,32,Fluvanna County,330,West Central Primary School,Y,88,,88
2020-2021,39,Greene County,20,Nathanael Greene Elementary,N,139,,139
2020-2021,39,Greene County,20,Nathanael Greene Elementary,Y,203,,203
2020-2021,39,Greene County,10,Nathanael Greene Primary School,N,158,,158
2020-2021,39,Greene County,10,Nathanael Greene Primary School,Y,212,,212
2020-2021,39,Greene County,30,Ruckersville Elementary,N,302,,302
2020-2021,39,Greene County,30,Ruckersville Elementary,Y,213,,213
2020-2021,39,Greene County,72,William Monroe High,N,555,,555
2020-2021,39,Greene County,72,William Monroe High,Y,401,,401
2020-2021,39,Greene County,71,William Monroe Middle,N,381,,381
2020-2021,39,Greene County,71,William Monroe Middle,Y,364,,364
2020-2021,54,Louisa County,660,Jouett Elementary,N,268,,268
2020-2021,54,Louisa County,660,Jouett Elementary,Y,313,,313
2020-2021,54,Louisa County,602,Louisa County High,N,810,,810
2020-2021,54,Louisa County,602,Louisa County High,Y,712,,712
2020-2021,54,Louisa County,601,Louisa County Middle,N,600,,600
2020-2021,54,Louisa County,601,Louisa County Middle,Y,603,,603
2020-2021,54,Louisa County,80,Moss-Nuckols Elementary,N,342,,342
2020-2021,54,Louisa County,80,Moss-Nuckols Elementary,Y,236,,236
2020-2021,54,Louisa County,610,Thomas Jefferson Elementary,N,234,,234
2020-2021,54,Louisa County,610,Thomas Jefferson Elementary,Y,359,,359
2020-2021,54,Louisa County,641,Trevilians Elementary,N,203,,203
2020-2021,54,Louisa County,641,Trevilians Elementary,Y,304,,304
2020-2021,56,Madison County,221,Madison County High,N,298,,298
2020-2021,56,Madison County,221,Madison County High,Y,246,<,247
2020-2021,56,Madison County,230,Madison Primary,N,155,41,196
2020-2021,56,Madison County,230,Madison Primary,Y,168,,168
2020-2021,56,Madison County,200,Waverly Yowell Elementary,N,181,,181
2020-2021,56,Madison County,200,Waverly Yowell Elementary,Y,182,,182
2020-2021,56,Madison County,222,William H. Wetsel Middle,N,194,,194
2020-2021,56,Madison County,222,William H. Wetsel Middle,Y,202,<,203
2020-2021,62,Nelson County,710,Nelson County High,N,263,,263
2020-2021,62,Nelson County,710,Nelson County High,Y,307,,307
2020-2021,62,Nelson County,730,Nelson Middle,N,162,,162
2020-2021,62,Nelson County,730,Nelson Middle,Y,224,,224
2020-2021,62,Nelson County,10,Rockfish River Elementary,N,132,,132
2020-2021,62,Nelson County,10,Rockfish River Elementary,Y,147,,147
2020-2021,62,Nelson County,20,Tye River Elementary,N,143,,143
2020-2021,62,Nelson County,20,Tye River Elementary,Y,218,,218
2020-2021,68,Orange County,360,Gordon-Barbour Elementary,N,151,,151
2020-2021,68,Orange County,360,Gordon-Barbour Elementary,Y,159,,159
2020-2021,68,Orange County,70,Lightfoot Elementary,N,119,,119
2020-2021,68,Orange County,70,Lightfoot Elementary,Y,121,<,122
2020-2021,68,Orange County,50,Locust Grove Elementary,N,305,,305
2020-2021,68,Orange County,50,Locust Grove Elementary,Y,167,,167
2020-2021,68,Orange County,471,Locust Grove Middle,N,361,,361
2020-2021,68,Orange County,471,Locust Grove Middle,Y,284,,284
2020-2021,68,Orange County,51,Locust Grove Primary School,N,265,,265
2020-2021,68,Orange County,51,Locust Grove Primary School,Y,138,,138
2020-2021,68,Orange County,330,Orange County High ,N,840,<,841
2020-2021,68,Orange County,330,Orange County High ,Y,620,,620
2020-2021,68,Orange County,370,Orange Elementary,N,316,,316
2020-2021,68,Orange County,370,Orange Elementary,Y,313,,313
2020-2021,68,Orange County,340,Prospect Heights Middle,N,218,<,219
2020-2021,68,Orange County,340,Prospect Heights Middle,Y,301,,301
2020-2021,68,Orange County,350,Unionville Elementary,N,129,,129
2020-2021,68,Orange County,350,Unionville Elementary,Y,97,,97
2020-2021,126,Staunton City,40,Arthur R. Ware Elementary,N,214,,214
2020-2021,126,Staunton City,40,Arthur R. Ware Elementary,Y,176,,176
2020-2021,126,Staunton City,70,Bessie Weller Elementary,N,164,,164
2020-2021,126,Staunton City,70,Bessie Weller Elementary,Y,183,,183
2020-2021,126,Staunton City,110,Shelburne Middle,N,321,,321
2020-2021,126,Staunton City,110,Shelburne Middle,Y,279,,279
2020-2021,126,Staunton City,41,Staunton City School PreSchool Programs,N,69,,69
2020-2021,126,Staunton City,41,Staunton City School PreSchool Programs,Y,12,,12
2020-2021,126,Staunton City,30,Staunton High,N,443,,443
2020-2021,126,Staunton City,30,Staunton High,Y,345,,345
2020-2021,126,Staunton City,90,Thomas C. McSwain Elementary,N,253,,253
2020-2021,126,Staunton City,90,Thomas C. McSwain Elementary,Y,148,,148
2020-2021,130,Waynesboro City,650,Berkeley Glenn Elementary,N,115,,115
2020-2021,130,Waynesboro City,650,Berkeley Glenn Elementary,Y,130,,130
2020-2021,130,Waynesboro City,640,Kate Collins Middle,N,274,,274
2020-2021,130,Waynesboro City,640,Kate Collins Middle,Y,424,,424
