division,school,latitude,longitude
Albemarle County,Agnor-Hurt Elementary,38.08954,-78.47695
Albemarle County,Albemarle High,38.07547,-78.50001
Albemarle County,Baker-Butler Elem,38.12356,-78.42041
Albemarle County,Broadus Wood Elementary,38.16257,-78.48957
Albemarle County,Brownsville Elementary,38.05233,-78.7013
Albemarle County,Community Lab School,38.041,-78.48202
Albemarle County,Crozet Elementary,38.07568,-78.69482
Albemarle County,Hollymead Elementary,38.11331,-78.43716
Albemarle County,Ivy Elementary,38.074917,-78.507056
Albemarle County,Jackson P. Burley Middle,38.04052,-78.48275
Albemarle County,Joseph T. Henley Middle,38.05269,-78.70353
Albemarle County,Journey Middle,38.07741,-78.50419
Albemarle County,Lakeside Middle,38.11267,-78.43588
Albemarle County,Leslie H. Walton Middle,37.92194,-78.55126
Albemarle County,Mary Carr Greer Elementary,38.07978,-78.5028
Albemarle County,Meriwether Lewis Elementary,38.08154,-78.59772
Albemarle County,Monticello High,37.99911,-78.48863
Albemarle County,Mountain View Elementary,37.9965,-78.49918
Albemarle County,Red Hill Elementary,37.96459,-78.6345
Albemarle County,Scottsville Elementary,37.81873,-78.51044
Albemarle County,Stone Robinson Elementary,38.01078,-78.39569
Albemarle County,Stony Point Elementary,38.11223,-78.36874
Albemarle County,Virginia L. Murray Elementary,38.05831,-78.61194
Albemarle County,Western Albemarle High,38.04736,-78.70678
Albemarle County,Woodbrook Elementary,38.08723,-78.46558
Charlottesville City,Buford Middle,38.02752,-78.496
Charlottesville City,Burnley-Moran Elementary,38.03592,-78.46214
Charlottesville City,Charlottesville High,38.05313,-78.4735
Charlottesville City,Clark Elementary,38.02323,-78.47286
Charlottesville City,Greenbrier Elementary,38.06437,-78.46895
Charlottesville City,Jackson-Via Elementary,38.01486,-78.50263
Charlottesville City,Johnson Elementary,38.0223,-78.50587
Charlottesville City,Venable Elementary,38.03872,-78.49682
Charlottesville City,Walker Upper Elementary,38.05392,-78.48343
Augusta County,Beverley Manor Middle,38.14637,-79.12168
Augusta County,Buffalo Gap High,38.19429,-79.21743
Augusta County,Cassell Elementary,38.13088,-78.87063
Augusta County,Churchville Elementary,38.2226,-79.15992
Augusta County,Craigsville Elementary,38.0821,-79.38028
Augusta County,Edward G. Clymore Elementary,38.24647,-78.97682
Augusta County,Fort Defiance High,38.24753,-78.97488
Augusta County,Guy K. Stump Elementary,38.03004,-79.03442
Augusta County,North River Elementary,38.31502,-79.07799
Augusta County,Riverheads Elementary,38.03303,-79.014285
Augusta County,Riverheads High,38.03279,-79.13919
